Name,Price,ReviewRatio,TotalReviews,Genres
BrainPower,0,0.2632,19,"Casual,Indie,Early Access"
DAISY THE SWIMMER,70,0.6471,102,"Action,Adventure,Indie"
8 YOUs+ (from KUUKIYOMI 4: Consider It),20,1.0,19,Simulation
Suicide Guy VR,89,0.6403,139,Action
Room 301 NO.6,50,0.9091,198,"Indie,Simulation"
Jet Lancer,0,0.9248,1091,"Action,Indie"
Toree's Panic Pack,0,0.5914,93,Action
Brain Show: Party Game,0,0.732,194,"Casual,Indie"
Dead Rising 2: Off the Record,75,0.7738,3908,"Action,Adventure"
Toast Time,0,0.7412,85,"Action,Casual,Indie,Strategy"
Zombie Killin',0,0.9524,21,"Action,Casual,Indie"
Marmot Fight Club,0,1.0,18,"Action,Casual,Indie"
COCKHEAD,0,0.622,836,"Action,Adventure,Casual,Indie,Simulation,Sports"
Home Creator,0,0.1538,13,"Action,Adventure,Casual,Indie,RPG,Simulation"
Pangea Survival,0,0.5825,103,"Action,Indie,Massively Multiplayer,RPG,Simulation,Early Access"
Magic gems,90,0.5,20,"Casual,Indie,Simulation"
Sprint Cars Road to Knoxville,0,0.5469,64,Racing
Western Press,84,0.669,281,"Action,Indie"
Tsuro - The Game of The Path - VR Edition,0,0.8,10,Strategy
Disney Alice in Wonderland,65,0.7016,305,"Action,Adventure"
Arkham Nightmares,0,0.3333,15,"Adventure,Free To Play"
Open Country,0,0.3688,404,"Adventure,Simulation"
Good Bones,0,0.8214,28,"Adventure,Casual,Indie,Simulation"
Lantern Bearer,0,0.9259,27,Indie
Animal Academy,80,0.9286,14,"Action,Casual,Indie,RPG"
Hina-chan's Sticker Survival,0,0.9167,24,Casual
HEVN,50,0.4783,23,"Action,Adventure,Indie"
Matcha,0,0.9412,34,"Casual,Indie"
Young Hearts,0,0.9512,82,"Casual,Indie,Simulation"
Path Maker,40,0.8125,16,"Casual,Indie"
My Bingo,0,0.5625,16,"Casual,Indie"
QUALIA 3: Multi Agent,75,0.4792,48,"Action,Indie"
Human Multiplayer Game,0,1.0,11,"Casual,Indie,Massively Multiplayer"
Jelly Brawl,0,0.7097,31,"Action,Casual,Indie"
The Land of the Magnates,0,0.8,40,"Action,Adventure,RPG"
Iseshima mystery annai: Itsuwari no Kuro shinnjyu,30,0.85,40,"Adventure,RPG"
Serial Cleaners,0,0.7736,424,"Action,Adventure,Indie,Simulation,Strategy"
The Backrooms,0,0.2364,55,"Adventure,Casual,Indie"
The Farm,0,0.7692,39,"Casual,Indie,RPG"
Labyrinth,0,0.8462,26,Casual
Pixel Privateers,0,0.7089,883,"Action,Adventure,Indie,RPG,Simulation"
SC2VN - The eSports Visual Novel,0,0.9276,870,"Adventure,Casual,Free To Play,Indie,RPG,Simulation"
Choose Wisely,0,0.7143,126,"Adventure,Indie,RPG,Simulation,Strategy"
Dead Effect,80,0.7312,3702,"Action,Indie"
Lost Lands: The Golden Curse Collector's Edition,0,0.938,484,"Adventure,Casual"
Warlords Under Siege,0,0.8035,453,"Simulation,Strategy"
Dashing Fire,0,0.961,77,"Action,Indie"
VR Drivers,0,0.0909,11,"Racing,Simulation,Sports,Early Access"
Once Upon a Rogue's Tale,0,0.9394,66,"Casual,Strategy,Early Access"
Doodle Empires,20,0.9394,66,"Indie,Simulation,Strategy,Early Access"
Teacher Certification Hell,50,0.6944,36,"Action,Adventure,Casual,Indie"
Voxel Baller,0,0.2105,19,"Action,Casual,Indie"
Noctuary,40,0.9569,1716,"Adventure,Casual,Indie,RPG"
Silver Axe - The Honest Elf,0,0.9205,88,"Action,Adventure,Indie,RPG"
Sugar Shack,50,0.6797,306,"Casual,Indie,Simulation"
Bit Tower,0,0.9615,26,"Action,Adventure,Casual,Indie,Strategy"
Rockfest,0,0.375,32,Free To Play
